supplier,sku,stock,price,lead_time_hours,cutoff_time,working_days
Shree Pharma,SKU0001,200,28.00,4,16:00,"0,1,2,3,4,5"
Medico Distributor,SKU0001,50,27.50,8,17:00,"0,1,2,3,4,5"
Shree Pharma,SKU0005,100,92.00,8,16:00,"0,1,2,3,4,5"
City Med Supply,SKU0009,80,180.00,12,15:30,"0,1,2,3,4,5"
Medico Distributor,SKU0011,20,110.00,6,17:00,"0,1,2,3,4,5"
Shree Pharma,SKU0015,70,125.00,8,16:00,"0,1,2,3,4,5"
Wellness Distribution,SKU0022,30,99.00,4,16:30,"0,1,2,3,4,5"
Wellness Distribution,SKU0024,20,75.00,8,16:30,"0,1,2,3,4,5"
Himalaya Partner,SKU0025,40,145.00,5,15:00,"0,1,2,3,4,5"
Shree Pharma,SKU0032,20,132.00,8,16:00,"0,1,2,3,4,5"
Medico Distributor,SKU0033,45,165.00,6,17:00,"0,1,2,3,4,5"
City Med Supply,SKU0035,60,210.00,12,15:30,"0,1,2,3,4,5"
Shree Pharma,SKU0037,500,12.00,4,16:00,"0,1,2,3,4,5"
Shree Pharma,SKU0049,80,95.00,8,16:00,"0,1,2,3,4,5"
Medico Distributor,SKU0057,120,38.00,8,17:00,"0,1,2,3,4,5"
City Med Supply,SKU0063,50,105.00,12,15:30,"0,1,2,3,4,5"
